price,RM,DIS
20.0,6.279,405.22
19.4,5.787,661.15
18.2,6.096,446.19
20.6,6.249,361.5
12.6,6.251,219.8
29.0,7.041,782.78
19.5,5.869,523.11
13.8,6.193,179.12
29.6,6.957,890.67
22.6,5.891,394.54
22.9,6.167,540.07
17.9,4.628,155.39
17.0,6.129,174.94
20.1,5.713,282.37
17.8,5.914,399.86
23.7,6.393,703.55
32.7,7.241,703.79
19.2,6.021,274.74
19.3,5.404,366.5
25.0,6.398,251.82
21.7,6.164,304.8
10.2,6.223,138.61
14.6,6.185,217.05
29.1,6.482,414.03
13.4,6.749,232.36
20.5,5.961,208.69
23.3,6.51,176.59
22.6,6.417,309.23
22.2,6.083,541.59
43.1,7.52,213.98
13.5,5.936,277.92
13.1,5.701,378.72
32.0,6.782,378.86
24.0,6.575,409.0
21.4,6.229,195.12
50.0,7.489,197.09
8.3,5.349,170.28
20.0,5.786,510.04
24.6,6.315,331.75
42.8,8.259,890.67
32.4,6.758,407.76
22.0,6.405,309.21
22.0,6.453,730.73
31.7,7.412,367.15
19.5,5.836,221.1
36.2,7.147,606.22
18.8,5.913,235.34
27.5,3.561,161.32
17.2,6.657,152.75
23.9,6.696,573.21
21.7,5.96,387.71
20.8,6.14,409.05
18.9,5.888,731.97
10.4,5.304,164.75
19.1,5.88,238.87
23.3,6.606,618.99
50.0,6.216,116.91
37.0,6.951,647.98
31.6,7.163,321.57
23.8,6.319,210.0
9.5,6.38,196.82
20.1,6.167,242.1
25.0,6.101,228.34
22.6,6.333,521.46
24.7,6.211,572.09
24.1,6.273,425.15
43.8,7.82,349.52
46.0,7.645,521.19
50.0,7.831,319.92
13.3,6.162,220.6
28.7,6.43,606.22
8.5,5.531,160.74
21.1,6.037,598.53
26.2,6.718,782.65
19.1,6.003,254.03
15.6,5.924,439.96
22.2,6.121,374.76
9.6,6.461,200.26
19.3,5.731,275.92
13.8,5.427,242.98
30.1,6.842,201.07
30.1,6.618,327.21
25.3,6.169,572.09
21.2,6.176,273.01
18.0,6.431,181.25
23.0,6.242,342.42
11.8,6.459,198.79
17.5,5.569,239.99
11.0,6.193,193.56
44.8,8.266,289.44
29.9,6.86,291.53
25.0,6.182,394.54
23.1,5.935,449.86
33.0,7.104,922.29
18.9,6.009,622.67
23.1,6.376,454.04
18.5,6.254,225.65
25.0,6.415,472.11
21.9,8.78,190.47
35.4,7.249,869.66
12.5,6.405,167.68
7.2,6.434,183.47
17.8,6.212,212.22
26.5,6.781,285.61
21.1,5.856,442.9
11.8,4.903,134.59
23.6,7.007,342.17
36.4,7.178,647.98
45.4,7.82,469.47
34.9,6.975,765.34
13.2,5.95,399.0
24.4,6.487,739.67
17.5,5.99,425.79
22.2,6.316,645.84
17.8,7.393,245.27
18.9,6.004,659.21
24.6,6.431,541.59
35.2,7.691,436.65
31.6,6.816,832.48
50.0,8.297,242.16
7.4,5.0,151.84
20.3,5.874,450.26
31.5,7.358,414.8
33.8,7.203,211.21
36.1,7.236,402.2
14.8,6.047,445.34
22.3,6.315,731.72
7.2,5.277,142.61
7.0,4.519,165.82
25.0,6.511,681.47
8.8,4.368,143.95
17.4,5.875,242.59
11.7,5.565,206.35
17.1,6.406,206.51
18.3,5.928,246.31
48.5,7.853,511.8
18.5,5.605,795.49
33.1,6.982,549.17
23.1,5.572,259.61
16.2,5.693,178.83
17.2,5.898,801.36
23.0,6.372,232.74
21.2,6.019,240.91
25.1,6.631,414.8
15.0,6.377,634.67
24.2,6.417,528.73
15.3,5.012,161.02
21.8,5.762,409.83
19.7,5.963,681.47
18.2,5.727,379.65
18.4,5.822,246.99
16.7,6.411,185.89
13.1,5.272,173.64
13.4,5.403,132.16
16.7,6.484,230.53
18.1,6.335,211.07
24.1,6.162,627.0
16.5,6.54,626.69
13.8,4.138,113.7
19.9,5.759,306.65
23.3,5.888,311.21
23.8,5.877,242.59
27.1,6.172,595.05
15.4,5.597,152.57
9.7,5.036,177.0
19.6,5.404,159.16
38.7,8.069,349.52
22.8,5.56,198.65
15.7,5.613,175.72
21.5,6.122,161.8
37.9,7.155,270.06
19.5,6.317,273.44
25.0,7.061,341.06
30.7,7.014,213.29
19.4,6.031,664.07
14.3,5.637,197.99
36.0,7.333,189.46
19.9,6.251,229.55
21.0,5.85,393.42
26.6,6.77,572.09
37.2,6.98,282.9
24.1,6.579,1071.03
50.0,5.875,112.96
24.5,5.926,238.17
22.5,6.015,442.72
11.9,6.03,250.5
23.9,6.389,477.94
14.5,6.072,417.5
23.7,6.481,618.99
42.3,7.61,627.0
19.0,5.952,287.15
10.2,4.88,158.95
21.6,6.266,326.28
18.3,5.794,289.27
20.6,5.936,1058.57
31.2,6.874,646.54
50.0,8.375,216.2
17.6,5.593,795.49
28.0,6.727,540.07
17.8,5.186,152.96
24.3,6.108,805.55
26.4,6.495,549.17
37.3,7.148,511.67
23.1,6.516,853.53
32.0,6.854,426.73
27.9,6.63,511.67
28.5,6.861,511.67
24.3,6.066,175.73
15.1,5.713,192.65
14.1,6.185,226.16
24.3,5.981,367.15
19.8,6.144,587.36
20.4,6.127,212.24
23.2,6.437,289.65
11.5,5.39,172.81
28.7,7.079,341.45
21.2,6.232,501.41
37.6,8.04,321.57
17.7,6.376,256.71
27.0,6.25,179.84
17.1,6.454,184.98
28.6,6.678,596.04
22.9,6.49,879.21
21.2,6.069,572.09
23.1,5.67,279.86
20.1,6.095,633.61
32.2,7.088,730.73
23.8,6.426,454.04
30.3,7.107,730.9
15.0,7.313,131.63
33.2,7.416,349.52
13.5,6.096,375.98
23.9,6.127,550.27
23.1,6.382,353.25
24.5,6.433,782.65
20.8,5.648,195.12
22.8,6.635,331.75
22.7,5.854,242.2
10.2,5.837,199.76
20.6,5.871,372.4
15.2,6.142,397.69
50.0,6.683,135.67
19.6,6.229,309.93
20.6,5.905,315.23
21.4,6.286,450.26
23.3,6.145,781.48
27.1,6.549,596.04
14.5,5.813,409.52
48.3,8.247,365.19
32.9,7.135,765.34
24.0,6.086,365.19
35.4,6.968,524.47
18.6,5.884,1071.03
20.2,6.513,280.16
7.5,6.782,181.95
22.8,6.715,267.75
13.3,5.857,166.86
21.0,6.113,400.19
13.6,5.57,379.79
20.9,5.885,649.8
13.6,5.983,186.81
36.5,7.206,193.01
19.6,5.927,693.2
21.4,5.986,199.29
8.4,5.935,182.06
33.1,6.826,486.28
19.3,6.137,271.47
21.5,5.951,288.93
